tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-03-16,LANCANG,4,4,120,141
2019-03-17,LANCANG,4,4,140,78
2019-03-18,LANCANG,4,4,79,88
2019-03-19,LANCANG,4,4,57,90
2019-03-20,LANCANG,4,4,65,84
2019-03-21,LANCANG,4,4,68,89
2019-03-22,LANCANG,4,4,51,84
2019-03-23,LANCANG,4,4,79,97
2019-03-24,LANCANG,4,4,80,140
2019-03-25,LANCANG,4,4,61,78
2019-03-26,LANCANG,4,4,50,84
2019-03-27,LANCANG,4,4,53,65
2019-03-28,LANCANG,4,4,74,90
2019-03-29,LANCANG,4,4,46,59
2019-03-30,LANCANG,4,4,87,135
2019-03-31,LANCANG,4,4,52,81
2019-03-01,PARI,3,3,101,68
2019-03-02,PARI,3,5,52,408
2019-03-03,PARI,4,9,577,275
2019-03-04,PARI,4,4,121,103
2019-03-05,PARI,3,3,108,120
2019-03-06,PARI,3,3,93,63
2019-03-07,PARI,4,5,91,203
2019-03-08,PARI,3,3,91,341
2019-03-09,PARI,4,20,163,3010
2019-03-10,PARI,18,6,2441,475
2019-03-11,PARI,4,4,181,102
2019-03-12,PARI,4,4,104,92
2019-03-13,PARI,4,4,87,79
2019-03-14,PARI,4,4,68,83
2019-03-15,PARI,4,4,78,125
2019-03-16,PARI,4,4,111,280
2019-03-17,PARI,5,4,369,115
2019-03-18,PARI,4,3,225,220
2019-03-19,PARI,4,4,109,80
2019-03-20,PARI,4,4,121,97
2019-03-21,PARI,4,4,114,55
2019-03-22,PARI,4,4,74,120
2019-03-23,PARI,5,7,237,259
2019-03-24,PARI,6,4,363,118
2019-03-25,PARI,4,5,117,113
2019-03-26,PARI,5,4,86,78
2019-03-27,PARI,5,4,131,114
2019-03-28,PARI,4,4,118,86
2019-03-29,PARI,4,7,90,231
2019-03-30,PARI,4,7,115,494
2019-03-31,PARI,5,4,90,158
2019-03-01,TIDUNG/PAYUNG,3,2,119,110
2019-03-02,TIDUNG/PAYUNG,5,7,152,545
2019-03-03,TIDUNG/PAYUNG,4,4,506,247
2019-03-04,TIDUNG/PAYUNG,2,3,70,124
2019-03-05,TIDUNG/PAYUNG,1,3,42,147
2019-03-06,TIDUNG/PAYUNG,2,2,171,71
2019-03-07,TIDUNG/PAYUNG,2,3,234,123
2019-03-08,TIDUNG/PAYUNG,5,3,161,197
2019-03-09,TIDUNG/PAYUNG,3,5,185,433
2019-03-10,TIDUNG/PAYUNG,5,3,558,137
2019-03-11,TIDUNG/PAYUNG,2,2,75,65
2019-03-12,TIDUNG/PAYUNG,4,5,86,111
2019-03-13,TIDUNG/PAYUNG,2,4,76,256
2019-03-14,TIDUNG/PAYUNG,4,3,183,113
2019-03-15,TIDUNG/PAYUNG,4,5,90,154
2019-03-16,TIDUNG/PAYUNG,3,4,79,419
2019-03-17,TIDUNG/PAYUNG,4,4,434,148
2019-03-18,TIDUNG/PAYUNG,2,3,79,108
2019-03-19,TIDUNG/PAYUNG,3,3,111,115
2019-03-20,TIDUNG/PAYUNG,2,2,105,110
2019-03-21,TIDUNG/PAYUNG,2,5,105,102
2019-03-22,TIDUNG/PAYUNG,4,4,146,134
2019-03-23,TIDUNG/PAYUNG,3,4,138,338
2019-03-24,TIDUNG/PAYUNG,4,3,374,138
2019-03-25,TIDUNG/PAYUNG,4,6,94,173
2019-03-26,TIDUNG/PAYUNG,5,5,115,176
2019-03-27,TIDUNG/PAYUNG,3,4,99,134
2019-03-28,TIDUNG/PAYUNG,3,4,136,178
2019-03-29,TIDUNG/PAYUNG,5,5,154,264
2019-03-30,TIDUNG/PAYUNG,3,5,232,632
2019-03-31,TIDUNG/PAYUNG,3,4,85,111
2019-03-01,PRAMUKA/PANGGANG,4,4,153,123
2019-03-02,PRAMUKA/PANGGANG,2,3,124,245
2019-03-03,PRAMUKA/PANGGANG,4,3,193,172
2019-03-04,PRAMUKA/PANGGANG,3,4,137,195
2019-03-05,PRAMUKA/PANGGANG,3,2,142,82
2019-03-06,PRAMUKA/PANGGANG,4,4,159,99
2019-03-07,PRAMUKA/PANGGANG,3,3,78,149
2019-03-08,PRAMUKA/PANGGANG,2,3,53,78
2019-03-09,PRAMUKA/PANGGANG,3,5,119,372
2019-03-10,PRAMUKA/PANGGANG,6,3,464,137
2019-03-11,PRAMUKA/PANGGANG,3,4,106,144
2019-03-12,PRAMUKA/PANGGANG,5,4,126,185
2019-03-13,PRAMUKA/PANGGANG,3,4,73,121
2019-03-14,PRAMUKA/PANGGANG,4,4,148,159
2019-03-15,PRAMUKA/PANGGANG,3,3,107,132
2019-03-16,PRAMUKA/PANGGANG,3,3,459,118
2019-03-17,PRAMUKA/PANGGANG,4,3,156,122
2019-03-18,PRAMUKA/PANGGANG,3,3,156,147
2019-03-19,PRAMUKA/PANGGANG,3,3,172,107
2019-03-20,PRAMUKA/PANGGANG,3,3,189,171
2019-03-21,PRAMUKA/PANGGANG,5,4,154,132
2019-03-22,PRAMUKA/PANGGANG,3,3,130,131
2019-03-23,PRAMUKA/PANGGANG,3,5,169,341
2019-03-24,PRAMUKA/PANGGANG,5,4,156,178
2019-03-25,PRAMUKA/PANGGANG,3,4,103,127
2019-03-26,PRAMUKA/PANGGANG,4,3,91,87
2019-03-27,PRAMUKA/PANGGANG,5,4,178,146
2019-03-28,PRAMUKA/PANGGANG,3,4,148,163
2019-03-29,PRAMUKA/PANGGANG,4,5,145,254
2019-03-30,PRAMUKA/PANGGANG,4,3,110,80
2019-03-31,PRAMUKA/PANGGANG,4,5,61,120
2019-03-01,KELAPA,4,3,110,80
2019-03-02,KELAPA,4,5,61,120
2019-03-03,KELAPA,5,4,146,91
2019-03-04,KELAPA,3,4,64,113
2019-03-05,KELAPA,4,3,119,79
2019-03-06,KELAPA,5,4,63,164
2019-03-07,KELAPA,4,3,106,147
2019-03-08,KELAPA,4,3,137,102
2019-03-09,KELAPA,4,5,113,162
2019-03-10,KELAPA,4,4,136,114
2019-03-11,KELAPA,3,4,86,111
2019-03-12,KELAPA,4,4,69,117
