tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2019-08-19,LANCANG,4,4,60,78
2019-08-20,LANCANG,4,4,43,47
2019-08-21,LANCANG,4,4,55,65
2019-08-22,LANCANG,4,4,56,50
2019-08-23,LANCANG,4,4,70,95
2019-08-24,LANCANG,4,4,59,106
2019-08-25,LANCANG,4,4,104,53
2019-08-26,LANCANG,4,4,30,56
2019-08-27,LANCANG,3,3,38,48
2019-08-28,LANCANG,3,3,43,30
2019-08-29,LANCANG,3,3,31,55
2019-08-30,LANCANG,3,4,44,53
2019-08-31,LANCANG,4,4,55,60
2019-08-01,PARI,5,6,188,359
2019-08-02,PARI,5,5,193,331
2019-08-03,PARI,5,14,212,1210
2019-08-04,PARI,11,11,1123,818
2019-08-05,PARI,5,4,123,166
2019-08-06,PARI,5,5,182,160
2019-08-07,PARI,6,6,190,239
2019-08-08,PARI,4,6,331,238
2019-08-09,PARI,5,5,119,260
2019-08-10,PARI,4,6,264,293
2019-08-11,PARI,6,5,323,93
2019-08-12,PARI,4,4,105,202
2019-08-13,PARI,4,4,207,111
2019-08-14,PARI,4,4,141,136
2019-08-15,PARI,4,4,128,104
2019-08-16,PARI,4,5,100,285
2019-08-17,PARI,7,21,261,2259
2019-08-18,PARI,16,10,2519,755
2019-08-19,PARI,5,5,137,280
2019-08-20,PARI,4,5,160,210
2019-08-21,PARI,4,4,140,121
2019-08-22,PARI,4,4,193,175
2019-08-23,PARI,4,4,123,123
2019-08-24,PARI,4,11,172,1284
2019-08-25,PARI,7,6,1061,342
2019-08-26,PARI,4,6,130,320
2019-08-27,PARI,4,5,182,129
2019-08-28,PARI,5,5,133,193
2019-08-29,PARI,5,5,102,140
2019-08-30,PARI,6,5,183,132
2019-08-31,PARI,5,4,267,171
2019-08-01,TIDUNG/PAYUNG,5,6,119,376
2019-08-02,TIDUNG/PAYUNG,6,6,210,372
2019-08-03,TIDUNG/PAYUNG,6,9,294,944
2019-08-04,TIDUNG/PAYUNG,5,4,287,199
2019-08-05,TIDUNG/PAYUNG,7,7,221,306
2019-08-06,TIDUNG/PAYUNG,4,4,193,207
2019-08-07,TIDUNG/PAYUNG,4,6,227,150
2019-08-08,TIDUNG/PAYUNG,5,5,262,185
2019-08-09,TIDUNG/PAYUNG,6,5,243,185
2019-08-10,TIDUNG/PAYUNG,5,5,174,440
2019-08-11,TIDUNG/PAYUNG,6,5,378,139
2019-08-12,TIDUNG/PAYUNG,4,4,156,323
2019-08-13,TIDUNG/PAYUNG,4,4,119,214
2019-08-14,TIDUNG/PAYUNG,4,4,138,129
2019-08-15,TIDUNG/PAYUNG,4,4,115,131
2019-08-16,TIDUNG/PAYUNG,10,5,117,297
2019-08-17,TIDUNG/PAYUNG,11,19,194,2926
2019-08-18,TIDUNG/PAYUNG,20,12,3214,102
2019-08-19,TIDUNG/PAYUNG,4,5,145,147
2019-08-20,TIDUNG/PAYUNG,4,4,160,145
2019-08-21,TIDUNG/PAYUNG,4,4,137,119
2019-08-22,TIDUNG/PAYUNG,6,7,158,165
2019-08-23,TIDUNG/PAYUNG,7,7,174,288
2019-08-24,TIDUNG/PAYUNG,7,10,235,1091
2019-08-25,TIDUNG/PAYUNG,13,11,1061,219
2019-08-26,TIDUNG/PAYUNG,4,4,79,146
2019-08-27,TIDUNG/PAYUNG,5,6,125,351
2019-08-28,TIDUNG/PAYUNG,5,4,21,133
2019-08-29,TIDUNG/PAYUNG,4,4,121,175
2019-08-30,TIDUNG/PAYUNG,6,6,323,277
2019-08-31,TIDUNG/PAYUNG,5,6,193,157
2019-08-01,PRAMUKA/PANGGANG,2,3,53,78
2019-08-02,PRAMUKA/PANGGANG,3,5,119,372
2019-08-03,PRAMUKA/PANGGANG,4,7,119,752
2019-08-04,PRAMUKA/PANGGANG,4,3,152,166
2019-08-05,PRAMUKA/PANGGANG,3,4,130,202
2019-08-06,PRAMUKA/PANGGANG,4,3,180,156
2019-08-07,PRAMUKA/PANGGANG,3,4,145,196
2019-08-08,PRAMUKA/PANGGANG,4,3,192,98
2019-08-09,PRAMUKA/PANGGANG,3,3,137,163
2019-08-10,PRAMUKA/PANGGANG,3,7,72,623
2019-08-11,PRAMUKA/PANGGANG,4,3,279,110
2019-08-12,PRAMUKA/PANGGANG,4,4,193,207
2019-08-13,PRAMUKA/PANGGANG,4,3,133,130
2019-08-14,PRAMUKA/PANGGANG,3,4,128,326
2019-08-15,PRAMUKA/PANGGANG,4,3,150,158
2019-08-16,PRAMUKA/PANGGANG,3,3,130,131
2019-08-17,PRAMUKA/PANGGANG,3,5,115,595
2019-08-18,PRAMUKA/PANGGANG,8,3,944,185
2019-08-19,PRAMUKA/PANGGANG,3,4,152,194
2019-08-20,PRAMUKA/PANGGANG,4,3,161,135
2019-08-21,PRAMUKA/PANGGANG,5,4,156,178
2019-08-22,PRAMUKA/PANGGANG,3,4,103,127
2019-08-23,PRAMUKA/PANGGANG,2,3,165,310
2019-08-24,PRAMUKA/PANGGANG,2,6,189,746
2019-08-25,PRAMUKA/PANGGANG,4,2,445,103
2019-08-26,PRAMUKA/PANGGANG,3,3,107,211
2019-08-27,PRAMUKA/PANGGANG,5,3,230,106
2019-08-28,PRAMUKA/PANGGANG,3,4,148,163
2019-08-29,PRAMUKA/PANGGANG,4,5,145,254
2019-08-30,PRAMUKA/PANGGANG,4,3,110,80
2019-08-31,PRAMUKA/PANGGANG,4,5,61,120
2019-08-01,KELAPA,6,4,91,83
2019-08-02,KELAPA,4,3,87,69
2019-08-03,KELAPA,3,4,61,134
2019-08-04,KELAPA,3,3,155,132
2019-08-05,KELAPA,4,6,118,101
2019-08-06,KELAPA,5,5,117,144
2019-08-07,KELAPA,5,7,75,164
2019-08-08,KELAPA,6,5,116,73
2019-08-09,KELAPA,6,6,99,100
2019-08-10,KELAPA,4,6,74,147
2019-08-11,KELAPA,4,3,89,10
2019-08-12,KELAPA,4,4,131,107
2019-08-13,KELAPA,6,4,116,145
2019-08-14,KELAPA,5,5,67,145
2019-08-15,KELAPA,6,5,115,73
2019-08-16,KELAPA,6,6,66,89
2019-08-17,KELAPA,3,6,38,188
2019-08-18,KELAPA,5,3,142,26
2019-08-19,KELAPA,3,4,144,237
2019-08-20,KELAPA,5,4,132,131
2019-08-21,KELAPA,5,5,100,162
2019-08-22,KELAPA,6,6,132,190
2019-08-23,KELAPA,5,5,91,91
2019-08-24,KELAPA,5,5,78,160
2019-08-25,KELAPA,5,4,146,96
2019-08-26,KELAPA,5,5,94,106
2019-08-27,KELAPA,6,4,161,101
2019-08-28,KELAPA,5,4,111,163
2019-08-29,KELAPA,5,4,144,98
2019-08-30,KELAPA,5,4,239,200
2019-08-31,KELAPA,5,3,191,132
2019-08-01,HARAPAN,3,2,108,38
2019-08-02,HARAPAN,4,3,70,191
2019-08-03,HARAPAN,2,11,127,1475
2019-08-04,HARAPAN,8,1,1382,9
2019-08-05,HARAPAN,1,3,16,70
2019-08-06,HARAPAN,1,1,16,9
2019-08-07,HARAPAN,1,1,40,12
2019-08-08,HARAPAN,1,1,15,22
2019-08-09,HARAPAN,1,1,19,22
2019-08-10,HARAPAN,1,3,15,218
2019-08-11,HARAPAN,3,1,12,238
2019-08-12,HARAPAN,1,3,29,117
2019-08-13,HARAPAN,2,1,83,23
2019-08-14,HARAPAN,2,1,74,51
2019-08-15,HARAPAN,2,2,32,145
2019-08-16,HARAPAN,2,2,121,153
2019-08-17,HARAPAN,2,10,143,1833
2019-08-18,HARAPAN,8,2,1793,82
2019-08-19,HARAPAN,1,3,15,51
2019-08-20,HARAPAN,1,1,11,5
